epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.739,1.80088,3.61722,1.53902,0.01502,0.24711,0.07535,0.05991,1.54748,3.79118,1.41202,0.00019998,0.00019998,0.00019998
2,559.812,1.54765,2.34248,1.35574,0.95056,0.06099,0.16318,0.10937,1.66399,3.28081,1.43904,0.000400951,0.000400951,0.000400951
3,842.226,1.47508,1.77835,1.31576,0.61384,0.16716,0.20003,0.11077,1.64975,2.50568,1.41473,0.000593642,0.000593642,0.000593642
4,1121.61,1.40019,1.59259,1.27057,0.58503,0.29939,0.28964,0.16983,1.50449,1.95252,1.3441,0.000778055,0.000778055,0.000778055
5,1384.43,1.36122,1.44174,1.24575,0.42937,0.32336,0.33624,0.20039,1.46924,1.97272,1.34827,0.000837007,0.000837007,0.000837007
6,1645.09,1.29052,1.35806,1.22534,0.45825,0.42165,0.32295,0.19623,1.40823,1.64347,1.29951,0.000819009,0.000819009,0.000819009
7,1907.26,1.28183,1.30961,1.21718,0.38179,0.40967,0.3825,0.2248,1.3965,1.48131,1.29075,0.000801011,0.000801011,0.000801011
8,2167.86,1.22527,1.26878,1.18473,0.59543,0.45466,0.44812,0.29281,1.28435,1.37868,1.2574,0.000783013,0.000783013,0.000783013
9,2426.32,1.19437,1.25017,1.19247,0.62256,0.45968,0.45113,0.30007,1.29611,1.40713,1.21933,0.000765014,0.000765014,0.000765014
10,2685.82,1.16323,1.1696,1.14907,0.64551,0.44768,0.44232,0.30629,1.22751,1.44578,1.20132,0.000747016,0.000747016,0.000747016
11,2945.41,1.16326,1.14074,1.14756,0.72584,0.50793,0.53492,0.35435,1.19589,1.23587,1.16686,0.000729018,0.000729018,0.000729018
12,3205.6,1.11678,1.14474,1.11607,0.68659,0.51318,0.53832,0.36611,1.17152,1.24374,1.15682,0.00071102,0.00071102,0.00071102
